mins 645 , noise_error =0.8551724137931034
mins 646 , noise_error =0.8918918918918919
mins 647 , noise_error =0.8450704225352113
mins 648 , noise_error =1.0
mins 649 , noise_error =0.8283582089552239
mins 650 , noise_error =0.9338235294117647
mins 651 , noise_error =0.6923076923076923
mins 652 , noise_error =0.9637681159420289
mins 653 , noise_error =0.9661016949152542
mins 654 , noise_error =1.0
mins 655 , noise_error =0.991304347826087
mins 656 , noise_error =0.9910714285714286
mins 657 , noise_error =1.0
mins 658 , noise_error =1.0
mins 659 , noise_error =0.9051724137931034
mins 660 , noise_error =0.9767441860465116
mins 661 , noise_error =0.9836065573770492
mins 662 , noise_error =0.9917355371900827
mins 663 , noise_error =0.9915966386554622
mins 664 , noise_error =0.8739495798319328
mins 665 , noise_error =0.8495575221238938
mins 666 , noise_error =0.9811320754716981
mins 667 , noise_error =1.0
mins 668 , noise_error =1.0
mins 669 , noise_error =1.0
mins 670 , noise_error =1.0
mins 671 , noise_error =1.0
mins 672 , noise_error =0.990990990990991
mins 673 , noise_error =1.0
mins 674 , noise_error =1.0
mins 675 , noise_error =0.907563025210084
mins 676 , noise_error =0.9243697478991597
mins 677 , noise_error =0.9838709677419355
mins 678 , noise_error =0.9924242424242424
mins 679 , noise_error =0.9632352941176471
mins 680 , noise_error =0.9770992366412213
mins 681 , noise_error =0.9672131147540983
mins 682 , noise_error =1.0
mins 683 , noise_error =0.9827586206896551
mins 684 , noise_error =0.8260869565217391
mins 685 , noise_error =0.9444444444444444
mins 686 , noise_error =0.9111111111111111
mins 687 , noise_error =0.6549295774647887
mins 688 , noise_error =0.6644295302013423
mins 689 , noise_error =0.779874213836478
mins 690 , noise_error =0.921875
mins 691 , noise_error =0.975609756097561
mins 692 , noise_error =0.9847328244274809
mins 693 , noise_error =0.8776978417266187
mins 694 , noise_error =0.9473684210526316
mins 695 , noise_error =0.8581081081081081
mins 696 , noise_error =0.8591549295774648
mins 697 , noise_error =0.9797297297297297
mins 698 , noise_error =0.9696969696969697
mins 699 , noise_error =0.9682539682539683
mins 700 , noise_error =1.0
mins 701 , noise_error =1.0
mins 702 , noise_error =0.9846153846153847
mins 703 , noise_error =0.9682539682539683
mins 704 , noise_error =1.0
mins 705 , noise_error =0.9836065573770492
mins 706 , noise_error =0.8898305084745762
mins 707 , noise_error =0.96875
mins 708 , noise_error =1.0
mins 709 , noise_error =0.9512195121951219
mins 710 , noise_error =1.0
mins 711 , noise_error =0.9482758620689655
mins 712 , noise_error =0.9741379310344828
mins 713 , noise_error =0.8623853211009174
mins 714 , noise_error =0.9765625
mins 715 , noise_error =0.8770491803278688
mins 716 , noise_error =0.9841269841269842
mins 717 , noise_error =0.9159663865546218
mins 718 , noise_error =0.7543859649122807
mins 719 , noise_error =0.817391304347826
mins 720 , noise_error =0.6714285714285715
mins 721 , noise_error =0.7849462365591398
mins 722 , noise_error =0.896
mins 723 , noise_error =0.9424460431654677
mins 724 , noise_error =0.8923076923076922
mins 725 , noise_error =0.8062015503875969
mins 726 , noise_error =0.8677685950413223
mins 727 , noise_error =0.8160000000000001
mins 728 , noise_error =0.9436619718309859
mins 729 , noise_error =0.9253731343283582
mins 730 , noise_error =0.9646017699115044
mins 731 , noise_error =0.9469026548672567
mins 732 , noise_error =0.9365079365079365
mins 733 , noise_error =0.9572649572649573
mins 734 , noise_error =0.9844961240310077
mins 735 , noise_error =0.8648648648648649
mins 736 , noise_error =0.9243697478991597
mins 737 , noise_error =0.9836065573770492
mins 738 , noise_error =0.9669421487603306
mins 739 , noise_error =0.8818897637795275
mins 740 , noise_error =0.9696969696969697
mins 741 , noise_error =0.9752066115702479
mins 742 , noise_error =0.9586776859504132
mins 743 , noise_error =1.0
mins 744 , noise_error =0.9834710743801653
mins 745 , noise_error =0.9
mins 746 , noise_error =0.9318181818181819
mins 747 , noise_error =0.976
mins 748 , noise_error =1.0
mins 749 , noise_error =0.9769230769230769
mins 750 , noise_error =0.9606299212598425
mins 751 , noise_error =0.984375
mins 752 , noise_error =1.0
mins 753 , noise_error =0.8521739130434782
mins 754 , noise_error =0.8805970149253731
mins 755 , noise_error =0.9407407407407408
mins 756 , noise_error =0.9851851851851852
mins 757 , noise_error =1.0
mins 758 , noise_error =0.9781021897810219
mins 759 , noise_error =0.9924812030075187
mins 760 , noise_error =0.7463768115942029
mins 761 , noise_error =0.7621951219512195
mins 762 , noise_error =0.9593023255813954
mins 763 , noise_error =1.0
mins 764 , noise_error =0.9935483870967742
mins 765 , noise_error =0.9210526315789473
mins 766 , noise_error =1.0
mins 767 , noise_error =1.0
mins 768 , noise_error =1.0
mins 769 , noise_error =0.9937888198757764
mins 770 , noise_error =0.9869281045751634
mins 771 , noise_error =1.0
mins 772 , noise_error =1.0
mins 773 , noise_error =1.0
mins 774 , noise_error =0.944
mins 775 , noise_error =0.9485294117647058
mins 776 , noise_error =1.0
mins 777 , noise_error =1.0
mins 778 , noise_error =0.9920634920634921
mins 779 , noise_error =1.0
