mins 600 , noise_error =1.0
mins 601 , noise_error =0.9920634920634921
mins 602 , noise_error =1.0
mins 603 , noise_error =0.9457364341085271
mins 604 , noise_error =1.0
mins 605 , noise_error =1.0
mins 606 , noise_error =0.9797297297297297
mins 607 , noise_error =0.9714285714285714
mins 608 , noise_error =0.9855072463768116
mins 609 , noise_error =0.9926470588235294
mins 610 , noise_error =0.9923664122137404
mins 611 , noise_error =1.0
mins 612 , noise_error =0.9923664122137404
mins 613 , noise_error =1.0
mins 614 , noise_error =0.9763779527559056
mins 615 , noise_error =0.9921259842519685
mins 616 , noise_error =1.0
mins 617 , noise_error =1.0
mins 618 , noise_error =1.0
mins 619 , noise_error =1.0
mins 620 , noise_error =1.0
mins 621 , noise_error =1.0
mins 622 , noise_error =0.9829059829059829
mins 623 , noise_error =1.0
mins 624 , noise_error =1.0
mins 625 , noise_error =0.981651376146789
mins 626 , noise_error =0.9824561403508771
mins 627 , noise_error =0.9666666666666667
mins 628 , noise_error =1.0
mins 629 , noise_error =1.0
mins 630 , noise_error =0.9915966386554622
mins 631 , noise_error =0.9747899159663865
mins 632 , noise_error =0.9586776859504132
mins 633 , noise_error =1.0
mins 634 , noise_error =0.95
mins 635 , noise_error =0.991869918699187
mins 636 , noise_error =1.0
mins 637 , noise_error =1.0
mins 638 , noise_error =1.0
mins 639 , noise_error =0.9652173913043478
mins 640 , noise_error =0.8951612903225806
mins 641 , noise_error =0.5081967213114754
mins 642 , noise_error =0.544
mins 643 , noise_error =0.487603305785124
mins 644 , noise_error =0.49612403100775193
mins 645 , noise_error =0.6412213740458015
mins 646 , noise_error =0.696
mins 647 , noise_error =0.6183206106870229
mins 648 , noise_error =0.6967213114754098
mins 649 , noise_error =0.8676470588235294
mins 650 , noise_error =0.7480314960629921
mins 651 , noise_error =0.8217054263565892
mins 652 , noise_error =0.8409090909090909
mins 653 , noise_error =0.9922480620155039
mins 654 , noise_error =0.9402985074626866
mins 655 , noise_error =0.927007299270073
mins 656 , noise_error =0.8106060606060606
mins 657 , noise_error =0.7593984962406015
mins 658 , noise_error =0.6567164179104478
mins 659 , noise_error =0.8064516129032258
mins 660 , noise_error =0.7559055118110236
mins 661 , noise_error =0.916030534351145
mins 662 , noise_error =0.9545454545454546
mins 663 , noise_error =1.0
mins 664 , noise_error =0.9318181818181819
mins 665 , noise_error =0.992
mins 666 , noise_error =0.8974358974358975
mins 667 , noise_error =0.9781021897810219
mins 668 , noise_error =1.0
mins 669 , noise_error =1.0
mins 670 , noise_error =1.0
mins 671 , noise_error =0.9836065573770492
mins 672 , noise_error =0.983739837398374
mins 673 , noise_error =1.0
mins 674 , noise_error =1.0
mins 675 , noise_error =1.0
mins 676 , noise_error =0.9827586206896551
mins 677 , noise_error =0.9911504424778761
mins 678 , noise_error =1.0
mins 679 , noise_error =1.0
mins 680 , noise_error =0.9586776859504132
mins 681 , noise_error =0.9761904761904762
mins 682 , noise_error =0.984375
